State,Depression Rate
Alabama,22
Alaska,15.8
Arizona,18.4
Arkansas,23.6
Califorina,12.8
Colorado,19.3
Conneticut,17.6
District of Colombia,18.1
Delaware,17.9
Florida,16.3
Georgia,18.2
Hawaii,11.7
Idaho,19.8
Illinois,15.4
Indiana,20.5
Iowa,19.5
Kansas,19.5
Kentucky,18.6
Louisiana,19.9
Montana,20.1
Maine,24.9
Maryland,16.3
Missouri,21.9
Minnesota,19
Mississippi,18.1
Michigan,19.7
Massechusets,20.9
New Hampshire,21.3
New York,15.7
New Jersey,12.5
Nebraska,17.6
Nevada,16.6
New Mexico,20.1
North Carolina,18.6
North Dakota,19
Ohio,19.6
Oklahoma,22.6
Oregon,27
Pennsylvania,18.8
Rhode Island,21.6
South Dakota,16.3
South Carolina,19.2
Tennessee,21.1
Texas,15.9
Utah,20.8
Virgina,15.7
Vermont,23.1
West Virginia,23.4
Wyoming,21
Wisconsin,17.5
Washington,21.7
